ID,Name,Address,Rating,Rating_Count,Open_Close,Description,Latitude,Longitude,Sessional,TypeTravel,TourID,Ordinal_Numbers
71,Cầu vàng Đà Lạt ,"WGW7+C67, Đường Tập, Đoàn 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,27,07:00–17:30,"Quán rộng mát mẻ, nước ngon, nhân viên dễ thương. Sẽ ghé lại và giới thiệu bạn bè. Giá vé 100k/ng bao gồm nước và phí vào cổng so với mặt bằng chung là quá ổn áp",11.94624532,108.5130465,Sáng,Ăn uống ,7,3
72,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.94466982,108.4994156,Chiều,Tham quan,7,4
73,Quảng trường Lâm Viên,"Đ. Trần Quốc Toản, Phường 1, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.5,10073,Cả ngày,"Quảng trường ven hồ nổi bật với những tòa nhà ốp kính hiện đại nổi tiếng, có nhiều quầy thực phẩm và sự kiện âm nhạc.",11.93959282,108.4451687,Trưa,Tham quan,7,5
74,Hồ Tuyền Lâm,"Phường 4, Tp. Đà Lạt, Lâm Đồng, Việt Nam",4.6,1743,Cả ngày,Hồ nước nhân tạo rộng lớn nằm giữa rừng cây. Nơi đây nổi tiếng với cảnh quan tươi đẹp giữa thiên nhiên thanh tĩnh.,11.8995373,108.4306672,Chiều,Tham quan,7,6
75,Thiền Viện Trúc lâm,"WC3M+FQ9, Hoa Cẩm Tú Cầu, Phường 3, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,1457,07:00–17:30,"Thiền viện Phật giáo truyền thống nằm trên một ngọn đồi, nơi có các khu vườn và cảnh núi non đẹp như bích họa.",11.90385095,108.4489072,Sáng,Tham quan,7,7
76,Điểm Du Lịch Chuồn Chuồn,"thôn 5, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,543,07:00–22:00,"Khu du lịch Chuồn Chuồn cách thành phố Dalat tâm 22km, đi theo đường Làng hoa Vạn Thành… đi qua đèo Tà Nung , Chuồn Chuồn thuộc Mê Linh gần cfe Mê Linh luôn nè.. không gian rất là rộng lớn, với nhiều tầng chill, mình đi trễ quá, chỉ đứng được bên dưới chân thôi, nhưng thấy rất đẹp rồi, hẹn 1 lần không xa mình sẽ ghé lai quán",11.88922477,108.3492946,Sáng,Ăn uống ,7,1
77,Chùa Linh Ẩn,"Đường Ba Đình, TT. Nam Ban, Lâm Hà, Lâm Đồng, Việt Nam",4.7,3014,Cả ngày,Một ngôi chùa tuyệt vời. Không gian yên tĩnh và linh thiên. Nguồn năng lượng mạnh mẽ và tốt đẹp. Nhóm chúng tôi thống nhất với nhau khi cả 4 người đều cảm thấy khoẻ hơn và lòng mình an yên.,11.82464361,108.3335489,Sáng,Tham quan,7,2
78,Buffet rau - Thế giới rau ngon,"17 Đ. Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",3.2,185,07:00–17:30,"Quán rộng rãi, nhân viên cực dễ thương nhiệt tình từ anh bảo vệ tới bạn phục vụ. Quầy rau xanh tươi và nhiều sốt chấm. Tuy nhiên nước lẩu không đầu tư lắm, cảm giác hương liệu và bột nêm nhiều.",11.94231233,108.4368749,Trưa,Ăn uống ,7,3
79,Nhà thờ Domaine de Marie,"1 Ngô Quyền, Phường 6, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",4.5,6084,07:00–17:30,"Nhà thờ màu hồng nổi tiếng, tọa lạc trong khung cảnh yên bình, có khu vườn đẹp và cửa hàng nhỏ.",11.94967124,108.4302471,Chiều,Tham quan,7,4
80,Nông Trại Cún Puppy Farm,"Cam Ly, Phường 7, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.2,6981,07:00–22:00,"Khu vườn bên sườn đồi có trang trại cà chua, những cánh đồng hoa cùng hoạt động hái dâu và vui chơi cùng chó.",11.96328471,108.3891041,Chiều,Vui chơi,7,5
81,Chùa Linh Ẩn,"Đường Ba Đình, TT. Nam Ban, Lâm Hà, Lâm Đồng, Việt Nam",4.7,3014,Cả ngày,Một ngôi chùa tuyệt vời. Không gian yên tĩnh và linh thiên. Nguồn năng lượng mạnh mẽ và tốt đẹp. Nhóm chúng tôi thống nhất với nhau khi cả 4 người đều cảm thấy khoẻ hơn và lòng mình an yên.,11.82464361,108.3335489,Sáng,Tham quan,8,1
82,Tu viện Bát Nhã,"511 Lý Thái Tổ, Đam Bri, Bảo Lộc, Lâm Đồng, Việt Nam",4.6,691,Cả ngày,"Nơi đáng viếng thăm, không gian chùa rộng, có nhiều chỗ đáng tham quan, vui chơi và ngắm hoàng hôn hoặc tổ chức cắm trại hoặc team building ngoài trời bên cạnh tu viện",11.6230355,107.7421418,Sáng,Tham quan,8,2
83,Khu du lịch Thác Đamb'ri,"Thôn 14 Lý Thái Tổ, Đam Bri, Bảo Lộc, Lâm Đồng, Việt Nam",4.3,5332,Cả ngày,Khung cảnh thiên nhiên hùng vĩ của núi rừng Tây Nguyên. Có 2 thác: 1 là thác Dasara ( thác nhỏ ) và 2 là thác Dambri ( thác lớn ). Quá tuyệt vời đáng để trải nghiệm. Tên người K’ho gọi Dambri - Nghĩa là “Đợi chờ”.,11.64224344,107.7428415,Chiều,Vui chơi,8,3
84,Thác Dasar,"2GHQ+78J, Đạ Sar, Lạc Dương, Lâm Đồng, Việt Nam",4.8,52,Cả ngày,"Là thác nước đẹp của Đà Lạt, nước mát trong lành, một địa điểm dân đam mê du lịch không thể bỏ qua. Thác nước rì rào, cùng với cây cối núi rừng tạo cảm giác rất thư giãn",12.02837238,108.5382056,Chiều,Tham quan,8,4
85,Cà phê Mê linh,"V8XR+7X, Tà Nung, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.1,42,07:00–22:00,"Quán rất rộng, nhiều khu vực chụp hình đẹp lung linh. Có cả khu vực cho thuê quần áo để bạn có thể ảo tung chảo, ảo banh nóc",11.89836247,108.3424664,Chiều,Ăn uống ,9,1
86,Mimo Hill,Mimo Hill,4.5,29,07:00–22:00,"Đến với Mimo Hill sẽ gặp 2 bạn chủ trẻ và rất thân thiện, dễ thương và vui vẻ. Cùng với bé cún tên ""heo"" cũng thân thiện không kém.",11.90788586,108.4633033,Chiều,Vui chơi,9,2
87,Nhà Hàng Thủy Tạ,"2 Đ. Trần Quốc Toản, Phường 4, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.9,1913,07:00–22:00,"Nhà hàng yên tĩnh này nhìn ra hồ, có chỗ ngồi ngoài trời, phục vụ món ăn và cà phê Việt Nam.",11.97824231,108.4419995,Tối,Ăn uống ,9,3
88,Chùa ve chai,"Trại Mát, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.6,8899,07:00–17:30,"Ngôi chùa lớn và ấn tượng, nổi tiếng với những bức tranh mosaic tinh xảo từ mảnh kính và gốm vỡ.",11.94466982,108.4994156,Sáng,Tham quan,9,1
89,QUÊ Garden - Vạn Thành,"Cam Ly, Phường 5, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",5,758,07:00–22:00,"Quán cà phê được chăm chút tốt, rất nhiều hoa hồng, cảnh quan rất đẹp. Có hồ cá nhỏ nhỏ nhưng đẹp. Thức uống 60k ngon, ko thu vé vào cửa. Bãi đỗ ô tô đối diện rất rộng. Rất hài lòng khi ghé quán.",11.95826243,108.3976258,Sáng,Ăn uống ,9,2
90,Tulu Tula ,"WG3J+755, QL20, Thôn Trường An Xã, Thành phố Đà Lạt, Lâm Đồng 66000, Việt Nam",3.7,7,07:00–17:30,Không,11.90338944,108.5304637,Trưa,Vui chơi,9,3
91,Đồi Chè Cầu Đất,"VHG6+VFX, Phát Chi, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.4,2192,Cả ngày,Đồi chè rất đẹp. Rộng rãi. Bây giờ có thêm mấy cái quạt gió quá đẹp. Buổi sáng các bạn ra săn mây là hợp lý luôn nha,11.87741908,108.5611834,Chiều,Tham quan,9,4
92,Thanh Nhu,"XC8V+GGC, Phường 8, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",3.8,38,07:00–22:00,"Quán có không gian rộng rãi, bày bán giá cả công khai như siêu thị. NHƯNG SẢN PHẨM KHÔNG CHẤT LƯỢNG. Mình mua 5 phần được tặng 1 phần, đa số mình mua là hàng sấy khô, nhưng sản phẩm bị yểu, mềm, lồng gió không còn giòn ngon nữa, mình có mua cả nui và bắp sấy thì nui và bắp bị chảy nước dính lại với nhau. Ở đây đa số tiếp khách đoàn, giá cả mình thấy cũng không rẻ hơn nhưng nơi khác.",11.96649031,108.4437942,Chiều,Tham quan,9,5
93,Buffet rau - Thế giới rau ngon,"17 Đ. Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng 670000, Việt Nam",3.2,185,07:00–17:30,"Quán rộng rãi, nhân viên cực dễ thương nhiệt tình từ anh bảo vệ tới bạn phục vụ. Quầy rau xanh tươi và nhiều sốt chấm. Tuy nhiên nước lẩu không đầu tư lắm, cảm giác hương liệu và bột nêm nhiều.",11.94231233,108.4368749,Tối,Ăn uống ,9,6
94,Chợ Đêm Đà Lạt,"6b Đường Nguyễn Thị Minh Khai, Phường 1, Thành phố Đà Lạt, Lâm Đồng 690000, Việt Nam",4.2,11479,Cả ngày,"Khu chợ tấp nập các quầy hàng bán đồ gia dụng, đồ khô và món ăn địa phương chế biến sẵn.",11.94158381,108.4372788,Sáng,Ăn uống ,9,1
95,Nhà Thờ Salêdiêng Don Bosco,"4 Đường Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng, Việt Nam",4.7,203,07:00–17:30,"Nhà thờ mới xây và đẹp, khách tham quan cần mặc đồ kín đáo, không hở hang và không quá ngắn. Nhà thờ chỉ cho phép tham quan bên ngoài, không được vào trong",11.94558132,108.4406459,Sáng,Tham quan,9,2
